"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CCDC85B",801.233683206464,1.1617322199883,0.0966095084179477,2.1839841116106e-34,6.55243766463438e-33
"SAMD9L",268.871654566399,-1.00210481663732,0.119734565757438,8.29552914071045e-18,5.56649795868448e-17
"TRPS1",260.481419682727,-1.09016099492496,0.110089063503082,4.3099308810368e-24,5.01623938145499e-23
"MOB1B",290.830793695683,-1.0042685240784,0.106279950314684,4.95118647679652e-22,4.74421352897302e-21
"HSPBP1",780.020488126391,1.03255589314723,0.0847971215506988,5.59140660502897e-35,1.75557164126735e-33
"SLC2A13",235.187313877422,-1.20915616536776,0.12446652702357,1.70010340808352e-23,1.86762376831047e-22
"ZBTB21",271.557882366708,-1.04045464164404,0.110552947555123,6.21806578909548e-22,5.91197931116747e-21
"RALGAPA1",275.925390200122,-1.05638831480521,0.106688908746936,4.94569446187581e-24,5.71676549056381e-23
"COL6A6",199.116181754143,-1.86890700051178,0.134115036980678,1.57192225989177e-48,1.81389080605118e-46
"FANCM",288.415816058725,-1.01991716708209,0.106640709073438,1.5552072559298e-22,1.55302168360268e-21
"CEP85L",283.126119714429,-1.03102053856574,0.116215505923648,9.37799659916307e-20,7.26821653761772e-19
"CCNJ",286.073335476271,-1.06077420424069,0.109909583636547,5.73478022219822e-23,5.96496670107074e-22
"NID2",282.541363062505,-1.39307154587199,0.10968217516531,1.7259812419911e-38,7.21438784771574e-37
"CPEB4",264.572719092884,-1.2485700996209,0.116128873567766,3.29117649960941e-28,5.64601955797035e-27
"BVES",292.848315638715,-1.08196326823508,0.104217283903661,3.31564116249372e-26,4.73698109363256e-25
"ERCC6",322.316481470798,-1.08405661063962,0.100613870080287,5.01406206051797e-28,8.46946911106344e-27
"RPS6KA5",279.2249293844,-1.05913623879552,0.1103277814597,9.50701523159852e-23,9.67251037240479e-22
"IL7R",310.583901953918,-1.25717019414552,0.117118978653334,3.82534076136359e-28,6.51272706420806e-27
"TOGARAM1",299.125588978259,-1.09259377900518,0.12129836173208,2.1735156472496e-20,1.79039870369231e-19
"SYNGAP1",269.328804002589,-1.37216154161318,0.121468681025516,4.32418283791016e-31,9.5393451788603e-30
"LIG4",313.616544632327,-1.05273836272984,0.114736035867635,5.43412675059751e-21,4.74247868518532e-20
"CRYBG3",247.240858193964,-1.70527738004418,0.138322554905135,1.04049916725464e-37,4.02515164960026e-36
"TRPC1",311.388852450225,-1.00289209963014,0.112165999872185,5.56762413211428e-20,4.42427859962772e-19
